X,Y,DN,C_2019,Class,C_Class,Zone,C_Zone,Region,C_Region,Departemen,Commune,UH,Area,Point,Point_cont,x,y,Xd,Yd,icon_url
6.094749,13.71333,"5455","5",DRN,"8",Soudano_Sahelienne,"4",Tahoua,"3",Madaoua,Bangui,"345",49412545.365500003099442,"1","97","185754","151791",6.094749000000000,13.713329999999999,./0.png
5.230908,14.194904,"4455","5",NRN,"17",Soudano_Sahelienne,"4",Tahoua,"3",Illela,Tajae,"345",36039503.209600001573563,"2","98","93058","157256",5.230908000000000,14.194903999999999,./0.png
6.182113,13.804221,"5456","6",DRR,"9",Soudano_Sahelienne,"4",Tahoua,"3",Madaoua,Bangui,"346",16480298.508899999782443,"1","99","195329","152786",6.182113000000000,13.804221000000000,./0.png
5.27198,13.824712,"7766","6",NDN,"11",Soudano_Sahelienne,"4",Tahoua,"3",Birni N'Konni,Birni N'Konni,"346",6355307.818289999850094,"2","100","96851","153147",5.271980000000000,13.824712000000000,./0.png
5.600163,13.959619,"7777","7",NNN,"14",Soudano_Sahelienne,"4",Tahoua,"3",Malbaza,Doguerawa,"347",6879686.808910000137985,"1","101","132593","154589",5.600163000000000,13.959619000000000,./0.png
5.100334,13.797366,"7777","7",NNN,"14",Soudano_Sahelienne,"4",Tahoua,"3",Birni N'Konni,Bazaga,"347",2436227.822089999914169,"2","102","78215","152874",5.100334000000000,13.797366000000000,./0.png
9.36621,13.499228,"7451","1",DRD,"7",Sahelienne,"1",Zinder,"4",Magaria,Wacha,"411",139376.395852999994531,"1","103","539632","149237",9.366210000000001,13.499228000000000,./0.png
9.373449,13.504054,"3211","1",DDN,"2",Sahelienne,"1",Zinder,"4",Magaria,Wacha,"411",139373.877547000010964,"2","104","540414","149290",9.373449000000001,13.504054000000000,./0.png
9.371036,13.501641,"7442","2",DND,"4",Sahelienne,"1",Zinder,"4",Magaria,Wacha,"412",139375.113962000003085,"1","105","540154","149264",9.371036000000000,13.501640999999999,./0.png
9.36621,13.501641,"7452","2",DRD,"7",Sahelienne,"1",Zinder,"4",Magaria,Wacha,"412",139374.996198999986518,"2","106","539631","149264",9.366210000000001,13.501640999999999,./0.png
